id_transaction,id_compte,id_categorie,montant,type_transaction,description,date_transaction
66,1,25,500.0,SORTIE,Alimentation,2026-01-28 14:32:46
65,1,25,500.0,SORTIE,Départ,2026-01-28 03:18:56
64,1,15,2000.0,ENTREE,Revenir,2026-01-28 03:16:08
63,1,15,20000.0,ENTREE,Salaire,2026-01-28 03:12:01
62,1,11,2000.0,SORTIE,Dépenses,2026-01-28 03:06:51
61,1,15,500.0,ENTREE,Jour s,2026-01-28 03:05:55
60,1,27,507.0,SORTIE,Divers,2026-01-28 03:05:27
59,1,15,3000.0,ENTREE,Ajoute,2026-01-28 03:00:50
58,1,15,15000.0,ENTREE,Ajoute,2026-01-28 02:58:26
57,1,15,10000.0,ENTREE,Joue,2026-01-28 02:58:05
56,1,15,10000.0,ENTREE,Ajoute,2026-01-28 02:54:39
55,1,26,10000.0,SORTIE,Avenue salers,2026-01-28 02:54:10
54,1,15,10000.0,ENTREE,Salaire,2026-01-28 02:52:17
53,1,15,10000.0,ENTREE,Salaire,2026-01-28 02:52:05
52,1,15,1000.0,ENTREE,S,2026-01-28 02:48:12
51,1,25,500.0,SORTIE,,2026-01-28 02:45:35
50,1,24,500.0,SORTIE,,2026-01-28 02:35:59
49,1,23,1000.0,SORTIE,Dépenses 1000 frf courants et du quotient,2026-01-28 02:30:49
48,1,22,500.0,SORTIE,Bilbao 500 convoqua le concile,2026-01-28 02:29:49
47,1,21,3000.0,SORTIE,Déclenche 3000 pour incarner,2026-01-28 02:26:39
46,1,20,500.0,SORTIE,Les hanches 500 on pourrait que je,2026-01-28 02:26:14
45,1,19,100000.0,SORTIE,Bihan 100 000 touristes en,2026-01-28 02:25:09
69,1,4,2000.0,SORTIE,Loisirs,2026-01-28
68,1,25,4000.0,SORTIE,Alimentation,2026-01-28
67,1,25,10000.0,SORTIE,Alimentation,2026-01-28
